ID,title,reprLat,reprLong,reprType,geonamesType,provisional
1001,Makar'evskii uezd,56.08367,45.06291,seat,ADM2,0
404,Makar'ev,56.08367,45.06291,GeoNames,PPL,0
377,Levkiev,,,,PPL,0
924,Krasnoslobodskii uezd,54.4253,43.78963,seat,ADM2,0
346,Krasnoslobodsk,54.4253,43.78963,GeoNames,PPL,0
92,Belotserkovka,,,,PPL,0
1135,Fridrikhsgamskii uezd,60.56974,27.19794,seat,ADM2,0
732,Fridrikhsgam,60.56974,27.19794,GeoNames,PPL,0
631,Simeonovka,,,,PPL,0
1103,Trubchevskii uezd,52.5798,33.7644,seat,ADM2,0
703,Trubchevsk,52.5798,33.7644,GeoNames,PPL,0
417,Maiaki,48.946,37.62433,GeoNames,PPL,0
709,Tukhi,,,,PPL,0
1021,Sumskii uezd,50.9216,34.80029,seat,ADM2,0
671,Sumy,50.9216,34.80029,GeoNames,PPL,0
1130,Rzhevskii uezd,56.26241,34.32817,seat,ADM2,0
576,Rzhev Volodimerov,56.26241,34.32817,GeoNames,PPL,0
582,Rolovskoe,59.7509,39.097,GeoNames,PPL,0
961,Shatskii uezd,54.02576,41.71191,seat,ADM2,0
497,Opushka,52.60643,41.48117,GeoNames,PPL,0
5,Avramiev,,,,PPL,0
969,Brianskii uezd,53.25209,34.37167,seat,ADM2,0
75,Briansk,53.25209,34.37167,GeoNames,PPL,0
1011,Bogorodskii uezd,55.85,38.45,seat,ADM2,0
510,Pavlovo,,,,PPL,0
315,Kolomna,55.07944,38.77833,GeoNames,PPL,0
740,Kholm U Spasa,,,,PPL,0
733,Khalch',,,,PPL,0
542,Pogromtsa,,,,PPL,0
256,Il'inskoe,54.12003,37.22165,GeoNames,PPL,0
620,Senkova,49.88974,35.1886,GeoNames,PPL,0
946,Rogachevskii uezd,53.0934,30.0495,seat,ADM2,0
277,Karm,,,,PPL,0
562,Propoisk,53.4429,31.0014,GeoNames,PPL,0
641,Sokol,,,,PPL,0
1008,Karachevskii uezd,53.12292,34.98517,seat,ADM2,0
485,Odrin Nikolaevskoi,,,,PPL,0
1559,Liubenskii uezd,50.01625,32.99694,seat,ADM2,0
577,Rzhitsa,,,,PPL,0
870,Polotskii uezd,55.4879,28.7856,seat,ADM2,0
