ID,title,reprLong,reprLat,reprType
536,Mostovskoe,57.02846,56.54404,point
537,Mrin,31.55242,51.05368,point
538,Murikovo,35.37,55.99461,point
539,Murom,42.0426,55.575,point
540,Mtsensk,36.57334,53.27657,point
541,Myshkin,38.45448,57.78973,point
542,Nedrigailov,33.87626,50.83398,point
543,Nosovka,31.58282,50.93152,point
544,Oboian',36.27919,51.20981,point
545,Obrub,32.33557,56.65394,point
546,Odoev,36.68639,53.93933,point
547,Olekminsk,120.4203,60.3743,point
548,Olonets,32.96976,60.98475,point
549,Omel'nik,33.54568,49.20765,point
550,Opushka,41.48117,52.60643,point
551,Ostap'e,33.76977,49.54487,point
552,Ostashkov,33.10753,57.14667,point
553,Ostrogozhsk,39.07561,50.8664,point
554,Parskoe,41.71092,57.01225,point
556,Perevolochna,34.06931,48.89004,point
557,Peremyshl',36.16063,54.26313,point
558,Petrovsk,45.39167,52.30639,point
559,Pechenegi,36.93472,49.87167,point
560,Ples,41.51579,57.45862,point
561,Pokrovskoe,66.79389,57.24028,point
562,Ponornitsa,32.85255,51.72622,point
563,Potok,31.04966,49.77022,point
564,Prezma,27.1325,56.40132,point
565,Preli,26.72459,56.29444,point
566,Protopopova,36.46653,52.92251,point
567,Putivl',33.87066,51.33745,point
568,Pusha,27.21667,56.23333,point
569,Piatnitskoe,37.34742,54.30443,point
570,Ratkovka,37.59472,49.75083,point
571,Rashevka,33.88896,50.22562,point
572,Ruzhnoe,34.76467,52.962,point
573,Rybinsk,38.84259,58.0446,point
574,Ryl'sk,34.6822,51.5655,point
575,Riazhsk,40.1109,53.7038,point
576,Samara,50.15,53.20007,point
577,Sarbaevo,45.863,55.05685,point
578,Senkova,35.1886,49.88974,point
579,Sergach',45.46611,55.53079,point
580,Serdobol',30.67434,61.69459,point
581,Serdobsk,44.21689,52.45861,point
582,Seredina Buda,34.03639,52.18903,point
583,Serpeisk,34.98889,54.33583,point
584,Serpukhov,37.41114,54.91578,point
